Detector Type,Descriptor Type,Detector Time,Preceding Vehicle Keypoints,Descriptor Time,# Keypoints
FAST,BRISK,0.045235,272,0.002782,182
SIFT,BRISK,0.044868,272,0.003031,182
BRISK,BRISK,0.038855,272,0.004267,182
BRISK,FREAK,0.039234,272,0.031849,173
FAST,FREAK,0.044342,272,0.032027,173
SIFT,FREAK,0.044395,272,0.032147,173
AKAZE,FREAK,0.04707,272,0.032444,173
ORB,FREAK,0.04755,272,0.03266,173
BRISK,ORB,0.038679,266,0.001294,203
AKAZE,ORB,0.045584,266,0.0013,203
ORB,ORB,0.04557,266,0.001339,203
SIFT,ORB,0.046421,266,0.001508,203
FAST,ORB,0.049632,266,0.001696,203
ORB,BRIEF,0.04478,266,0.001048,189
BRISK,BRIEF,0.039994,266,0.001334,189
FAST,BRIEF,0.048147,266,0.001424,189
SIFT,BRIEF,0.047727,266,0.001517,189
AKAZE,BRIEF,0.04511,266,0.001525,189
FAST,BRISK,0.044852,266,0.002605,183
ORB,BRISK,0.04612,266,0.002733,183
AKAZE,BRISK,0.049006,266,0.00284,183
SIFT,BRISK,0.054784,266,0.003036,183
BRISK,BRISK,0.040112,266,0.003822,183
ORB,FREAK,0.044434,266,0.031058,178
SIFT,FREAK,0.046056,266,0.032083,178
BRISK,FREAK,0.037639,266,0.032408,178
FAST,FREAK,0.044457,266,0.032604,178
AKAZE,FREAK,0.045637,266,0.033026,178
ORB,BRIEF,0.044772,264,0.000957,0
AKAZE,BRIEF,0.048215,264,0.000972,0
FAST,ORB,0.046325,264,0.001303,0
SIFT,ORB,0.048374,264,0.001315,0
FAST,BRIEF,0.057859,264,0.001396,0
SIFT,BRIEF,0.047446,264,0.001421,0
BRISK,BRIEF,0.043984,264,0.001561,0
ORB,ORB,0.045849,264,0.001578,0
BRISK,ORB,0.05553,264,0.001998,0
ORB,BRISK,0.04421,264,0.002511,0
AKAZE,BRISK,0.045725,264,0.002514,0
FAST,BRISK,0.04721,264,0.002796,0
AKAZE,ORB,0.068681,264,0.002873,0
BRISK,BRISK,0.041529,264,0.00313,0
SIFT,BRISK,0.049623,264,0.003744,0
AKAZE,FREAK,0.047048,264,0.030356,0
BRISK,FREAK,0.038537,264,0.031734,0
SIFT,FREAK,0.048349,264,0.032561,0
ORB,FREAK,0.045452,264,0.033426,0
FAST,FREAK,0.0464,264,0.035061,0
SIFT,BRIEF,0.047289,254,0.000979,183
ORB,BRIEF,0.044759,254,0.001321,183
FAST,BRIEF,0.045822,254,0.001353,183
BRISK,BRIEF,0.055315,254,0.001661,183
AKAZE,BRIEF,0.059352,254,0.001697,183
SIFT,ORB,0.046651,254,0.00128,178
ORB,ORB,0.044887,254,0.001308,178
BRISK,ORB,0.038305,254,0.001552,178
FAST,ORB,0.047531,254,0.001766,178
AKAZE,ORB,0.063636,254,0.002946,178
SIFT,FREAK,0.045849,254,0.029528,166
BRISK,FREAK,0.038855,254,0.030529,166
ORB,FREAK,0.044524,254,0.031237,166
FAST,FREAK,0.045986,254,0.032332,166
AKAZE,FREAK,0.05635,254,0.036242,166
AKAZE,BRISK,0.045575,254,0.002539,161
SIFT,BRISK,0.047538,254,0.002732,161
ORB,BRISK,0.04509,254,0.002946,161
FAST,BRISK,0.044315,254,0.003137,161
BRISK,BRISK,0.039344,254,0.003142,161
HARRIS,BRIEF,0.030992,43,0.00087,24
HARRIS,ORB,0.029235,43,0.001502,24
HARRIS,FREAK,0.029486,43,0.035005,17
HARRIS,BRISK,0.025787,43,0.00064,16
HARRIS,BRIEF,0.023951,34,0.001025,23
HARRIS,ORB,0.023644,34,0.001666,22
HARRIS,BRISK,0.02078,34,0.000522,21
HARRIS,FREAK,0.019912,34,0.036785,18
HARRIS,BRIEF,0.015537,31,0.000827,16
HARRIS,BRISK,0.02219,31,0.000492,15
HARRIS,ORB,0.017897,31,0.001639,15
HARRIS,FREAK,0.013912,31,0.034257,12
HARRIS,BRIEF,0.018055,26,0.000878,24
HARRIS,ORB,0.017802,26,0.001255,24
HARRIS,BRISK,0.016759,26,0.000464,23
HARRIS,FREAK,0.016705,26,0.0331,21
HARRIS,BRIEF,0.015694,26,0.001178,20
HARRIS,ORB,0.018217,26,0.001125,18
HARRIS,BRISK,0.020218,26,0.000467,15
HARRIS,FREAK,0.015456,26,0.036869,15
HARRIS,BRIEF,0.017852,21,0.001029,15
HARRIS,ORB,0.017044,21,0.001256,15
HARRIS,FREAK,0.015985,21,0.036107,15
HARRIS,BRISK,0.016955,21,0.000432,14
HARRIS,BRIEF,0.015804,18,0.000731,26
HARRIS,ORB,0.014449,18,0.001374,20
HARRIS,FREAK,0.015744,18,0.038264,20
HARRIS,BRISK,0.013191,18,0.00039,16
HARRIS,FREAK,0.020772,18,0.034793,13
HARRIS,ORB,0.016726,18,0.001156,12
HARRIS,BRIEF,0.020271,18,0.000876,11
HARRIS,BRISK,0.029847,18,0.000419,10
HARRIS,BRIEF,0.015158,17,0.000575,0
HARRIS,BRISK,0.017373,17,0.001176,0
HARRIS,ORB,0.014895,17,0.001366,0
HARRIS,FREAK,0.013761,17,0.032148,0
HARRIS,BRIEF,0.017238,14,0.000928,14
HARRIS,FREAK,0.012903,14,0.033804,13
HARRIS,BRISK,0.021938,14,0.000577,12
HARRIS,ORB,0.015367,14,0.001469,12
